Database,EndDate,NullDataPoints,RepeatedPoints,StartDate,SCN,Site,Station,Date,Direction,Lane,Speed,Headway,Occupancy,Vehicles,Motorbikes,Cars,Trailers,Rigids,HGVs,Buses
FALSE,2023-02-01 00:00:00,TRUE,TRUE,2023-01-31 00:00:00,R1135D1L1,1135,1135,2023-01-31 07:37:42,1,1,32,209,2,11,1,7,0,2,0,1
FALSE,2023-02-01 00:00:00,TRUE,TRUE,2023-01-31 00:00:00,R1135D1L1,1135,1135,2023-01-31 07:43:42,1,1,24,264,2,14,1,12,0,1,0,0
FALSE,2023-02-01 00:00:00,TRUE,TRUE,2023-01-31 00:00:00,R1135D1L1,1135,1135,2023-01-31 07:47:43,1,1,27,237,1,11,0,11,0,0,0,0
FALSE,2023-02-01 00:00:00,TRUE,TRUE,2023-01-31 00:00:00,R1135D1L1,1135,1135,2023-01-31 07:51:42,1,1,28,396,0,6,0,6,0,0,0,0
FALSE,2023-02-01 00:00:00,TRUE,TRUE,2023-01-31 00:00:00,R1135D1L1,1135,1135,2023-01-31 07:57:42,1,1,30,201,2,16,0,16,0,0,0,0
FALSE,2023-02-01 00:00:00,TRUE,TRUE,2023-01-31 00:00:00,R1135D1L1,1135,1135,2023-01-31 08:03:43,1,1,23,206,2,14,0,13,0,1,0,0
FALSE,2023-02-01 00:00:00,TRUE,TRUE,2023-01-31 00:00:00,R1135D1L1,1135,1135,2023-01-31 08:07:42,1,1,18,397,1,5,1,4,0,0,0,0
FALSE,2023-02-01 00:00:00,TRUE,TRUE,2023-01-31 00:00:00,R1135D1L1,1135,1135,2023-01-31 08:13:42,1,1,26,207,2,15,1,14,0,0,0,0
FALSE,2023-02-01 00:00:00,TRUE,TRUE,2023-01-31 00:00:00,R1135D1L1,1135,1135,2023-01-31 08:17:43,1,1,30,169,2,18,1,17,0,0,0,0
FALSE,2023-02-01 00:00:00,TRUE,TRUE,2023-01-31 00:00:00,R1135D1L1,1135,1135,2023-01-31 08:23:43,1,1,26,144,3,19,0,19,0,0,0,0
FALSE,2023-02-01 00:00:00,TRUE,TRUE,2023-01-31 00:00:00,R1135D1L1,1135,1135,2023-01-31 08:25:43,1,1,26,144,3,19,0,19,0,0,0,0
FALSE,2023-02-01 00:00:00,TRUE,TRUE,2023-01-31 00:00:00,R1135D1L1,1135,1135,2023-01-31 08:27:43,1,1,27,179,3,19,0,19,0,0,0,0
FALSE,2023-02-01 00:00:00,TRUE,TRUE,2023-01-31 00:00:00,R1135D1L1,1135,1135,2023-01-31 08:33:43,1,1,29,132,3,23,2,21,0,0,0,0
FALSE,2023-02-01 00:00:00,TRUE,TRUE,2023-01-31 00:00:00,R1135D1L1,1135,1135,2023-01-31 08:37:42,1,1,32,180,2,17,0,17,0,0,0,0
FALSE,2023-02-01 00:00:00,TRUE,TRUE,2023-01-31 00:00:00,R1135D1L1,1135,1135,2023-01-31 08:43:42,1,1,27,117,4,26,0,26,0,0,0,0
FALSE,2023-02-01 00:00:00,TRUE,TRUE,2023-01-31 00:00:00,R1135D1L1,1135,1135,2023-01-31 08:47:43,1,1,33,320,1,9,1,8,0,0,0,0
FALSE,2023-02-01 00:00:00,TRUE,TRUE,2023-01-31 00:00:00,R1135D1L1,1135,1135,2023-01-31 08:51:43,1,1,26,211,2,15,1,14,0,0,0,0
FALSE,2023-02-01 00:00:00,TRUE,TRUE,2023-01-31 00:00:00,R1135D1L1,1135,1135,2023-01-31 08:57:42,1,1,27,182,2,17,0,17,0,0,0,0
FALSE,2023-02-01 00:00:00,TRUE,TRUE,2023-01-31 00:00:00,R1135D1L1,1135,1135,2023-01-31 09:03:43,1,1,31,279,1,10,1,8,0,0,0,1
FALSE,2023-02-01 00:00:00,TRUE,TRUE,2023-01-31 00:00:00,R1135D1L1,1135,1135,2023-01-31 09:07:42,1,1,28,2744,2,13,1,11,0,1,0,0
FALSE,2023-02-01 00:00:00,TRUE,TRUE,2023-01-31 00:00:00,R1135D1L1,1135,1135,2023-01-31 09:13:42,1,1,27,206,2,14,0,13,0,0,0,1
FALSE,2023-02-01 00:00:00,TRUE,TRUE,2023-01-31 00:00:00,R1135D1L1,1135,1135,2023-01-31 09:29:43,1,1,26,330,1,11,0,11,0,0,0,0
FALSE,2023-02-01 00:00:00,TRUE,TRUE,2023-01-31 00:00:00,R1135D1L1,1135,1135,2023-01-31 09:33:42,1,1,30,226,2,10,0,8,0,0,0,2
FALSE,2023-02-01 00:00:00,TRUE,TRUE,2023-01-31 00:00:00,R1135D1L1,1135,1135,2023-01-31 09:37:42,1,1,36,312,1,11,0,11,0,0,0,0
FALSE,2023-02-01 00:00:00,TRUE,TRUE,2023-01-31 00:00:00,R1135D1L1,1135,1135,2023-01-31 09:43:42,1,1,24,250,1,9,2,7,0,0,0,0
FALSE,2023-02-01 00:00:00,TRUE,TRUE,2023-01-31 00:00:00,R1135D1L1,1135,1135,2023-01-31 09:47:43,1,1,28,348,1,7,0,7,0,0,0,0
FALSE,2023-02-01 00:00:00,TRUE,TRUE,2023-01-31 00:00:00,R1135D1L1,1135,1135,2023-01-31 09:51:43,1,1,25,394,1,8,1,7,0,0,0,0
